Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
39-1	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	12.2176075852	57.52261899999999	13.025469418499998	0.101299512576	6.722668295	34.8423001994	13.8264275492	39.399054	101.64956	564.982436
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
40-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	23.946848498	13.041098	31.2309739702	0.181037844413	23.971469656500002	44.8854707337	18.011981706500002	89.69731	36.260615	604.661652
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
41-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.855305668900002	6.484471	8.96341912869	0.097884874809	55.9287635241	136.263415826	16.1628606197	16.401897	24.030686	1341.522584
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
42-1	1.0	1.0	1.0	1.0	0.5	1.0	0.5	1.0	1.0	1.0	12.929743523900001	10.934523	13.238847651199999	0.0165824073872	60.446568266499995	90.3260941327	5.10485518719	31.541894	28.177425	817.145332
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
43-1	1.0	0.5	1.0	1.0	1.0	1.5	1.5	1.0	0.5	1.0	9.557214694489998	53.271474	5.10355526505	0.0611714212436	89.8701608635	125.883668486	6.6401155022200005	35.514316	68.607201	550.471896
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
44-1	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	14.163799143499999	8.792262	24.6795542345	0.029198886936400006	27.9663797502	75.0826144656	10.628861345399999	19.342975	33.762284	333.402558
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
45-1	1.0	0.5	1.0	1.0	1.0	3.0	1.0	1.0	0.5	1.0	12.7391011802	1.972632	7.385676606900001	0.0364425408244	46.8365449335	856.7667413930002	5.81714710245	11.178246	17.753685	535.240737
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
