,CNV_MIR335,CNV_JUND,CNV_FOXP2,CNV_TFAP2C,CNV_FOSL1,CNV_MIR16-2,CNV_PLAUR,MIR335,JUND,FOXP2,TFAP2C,FOSL1,MIR16-2,PLAUR,T0_MIR335,T0_JUND,T0_FOXP2,T0_TFAP2C,T0_FOSL1,T0_MIR16-2,T0_PLAUR
MJ,1.00968130939582,2,2,2,2,0.986301067304456,2,5.984817,6.6396662958693,0.0565835283663675,0.070389327891398,3.38681094647222,5.8130116,1.88362081628567,5.984817,6.6396662958693,0.0565835283663675,0.070389327891398,3.38681094647222,5.8130116,1.88362081628567
MHHNB11,1.2217931016735,2,2,2,2,0.902000413523973,2,6.3928328,6.82870773545514,0.0285691521967709,0.0565835283663675,0.941106310946432,6.0232553,2.68257329734758,6.3928328,6.82870773545514,0.0285691521967709,0.0565835283663675,0.941106310946432,6.0232553,2.68257329734758
TE125T,1.00556058039847,2,2,2,2,1.00807291898384,2,5.996389,6.53122548505361,0.722466024471091,0.464668267003444,6.15663931069209,5.932392,5.01301553583926,5.996389,6.53122548505361,0.722466024471091,0.464668267003444,6.15663931069209,5.932392,5.01301553583926
BDCM,0.989999704718072,2,2,2,2,1.00884182927074,2,5.8698716,4.07809742302666,0.0143552929770701,0.0426443374084937,1.67807190511264,5.956986,3.30451104180995,5.8698716,4.07809742302666,0.0143552929770701,0.0426443374084937,1.67807190511264,5.956986,3.30451104180995
GDM1,0.974274357308802,2,2,2,2,0.973936758051744,2,6.282069,5.93946167836279,2.15055967657538,0.0285691521967709,3.4944156103975,6.282069,2.48026512205446,6.282069,5.93946167836279,2.15055967657538,0.0285691521967709,3.4944156103975,6.282069,2.48026512205446
G292CLONEA141B1,0.927037754309458,3,2,2,3,0.928645580996972,2,5.878235,5.48735771531155,0.55581615506164,3.92314918047231,8.58927661508981,6.803744,5.99390075563742,5.878235,5.48735771531155,0.55581615506164,3.92314918047231,8.58927661508981,6.803744,5.99390075563742
HS281T,0.999584198161219,2,2,2,2,0.998407031607884,2,6.051807,5.57591736111815,0.0426443374084937,0.0565835283663675,7.52802426622282,7.4101543,7.27631054746415,6.051807,5.57591736111815,0.0426443374084937,0.0565835283663675,7.52802426622282,7.4101543,7.27631054746415
T3M4,0.756860856263511,2,2,4,4,1.17772278959498,4,5.871351,4.43229133824778,1.23266075679027,2.611172380044,5.98686597232911,7.158256,5.79363582035063,5.871351,4.43229133824778,1.23266075679027,2.611172380044,5.98686597232911,7.158256,5.79363582035063
ACCMESO1,1.01726813514551,1,1,2,1,1.04224900871718,1,6.329841,4.78607355157855,0.0285691521967709,1.91456452349394,5.88752527074159,6.220717,5.13257684267001,6.329841,4.78607355157855,0.0285691521967709,1.91456452349394,5.88752527074159,6.220717,5.13257684267001
SKES1,1.35688645471943,2,3,2,2,1.0882424416708,2,6.170526,5.30012372456901,2.83794324189103,0.321928094887362,0.970853654340484,5.909293,5.47767732756531,6.170526,5.30012372456901,2.83794324189103,0.321928094887362,0.970853654340484,5.909293,5.47767732756531
HS172T,1.00744424648595,2,2,2,2,1.01374865476432,2,6.0085406,3.72900887033786,0.0426443374084937,5.63836350589786,6.01747656302046,6.372778,4.83187724119167,6.0085406,3.72900887033786,0.0426443374084937,5.63836350589786,6.01747656302046,6.372778,4.83187724119167
PC3,1.31476048306648,3,4,4,4,1.22645984499644,2,6.256256,3.24031432933371,0.0143552929770701,3.54720302475693,8.69359149683062,6.2872505,5.93191939010004,6.256256,3.24031432933371,0.0143552929770701,3.54720302475693,8.69359149683062,6.2872505,5.93191939010004
OV56,0.788509477103973,2,2,2,2,1.04008396465312,2,5.970854,6.34394073926782,0.0426443374084937,3.48800077083407,8.12881921899602,7.4340444,5.87872534148011,5.970854,6.34394073926782,0.0426443374084937,3.48800077083407,8.12881921899602,7.4340444,5.87872534148011
NCIH2452,1.21352177842828,2,2,2,2,1.28940009956354,1,5.9394617,5.2502036564993,0.333423733725192,0.31034012061215,7.22641219278879,7.5087457,5.28021399581062,5.9394617,5.2502036564993,0.333423733725192,0.31034012061215,7.22641219278879,7.5087457,5.28021399581062
PANC0504,1.08952552819133,4,4,5,4,0.968014122194319,4,6.054631,5.71836162613835,0.31034012061215,0.111031312388744,6.45959555194136,6.0755324,6.06328721220618,6.054631,5.71836162613835,0.31034012061215,0.111031312388744,6.45959555194136,6.0755324,6.06328721220618
HPAFII,1.27774504793582,3,2,4,3,1.23439147203794,2,5.7487297,6.34837407519116,0.0285691521967709,0.0426443374084937,6.73498052343589,6.2191687,6.98766194202704,5.7487297,6.34837407519116,0.0285691521967709,0.0426443374084937,6.73498052343589,6.2191687,6.98766194202704
G401,0.992266807762594,2,2,2,2,1.01325690015909,2,5.9408717,5.92386226807603,0,0.111031312388744,4.13422093976063,5.9653225,2.25096157353322,5.9408717,5.92386226807603,0,0.111031312388744,4.13422093976063,5.9653225,2.25096157353322
ZR751,0.90425401264778,2,3,5,5,0.984320468367326,4,5.898692,5.05354581772798,0.992768430768924,4.87578006306849,1.35614381022528,6.7105308,2.07382023329167,5.898692,5.05354581772798,0.992768430768924,4.87578006306849,1.35614381022528,6.7105308,2.07382023329167
GAMG,1.36964309395419,2,4,4,3,1.06673365126649,2,5.9646297,4.77768271707355,0.344828496997441,4.67355642399014,9.2274474787783,7.827565,7.47945693479402,5.9646297,4.77768271707355,0.344828496997441,4.67355642399014,9.2274474787783,7.827565,7.47945693479402
SIMA,1.04986221534225,2,2,2,1,1.03900312973228,2,5.825022,6.9136075118231,0.0565835283663675,0.0840642647884745,1.30451104180995,6.0840645,3.48026512205446,5.825022,6.9136075118231,0.0565835283663675,0.0840642647884745,1.30451104180995,6.0840645,3.48026512205446
RH41,1.11450261372377,2,4,6,2,1.12888615366873,4,5.9634743,5.33449676839042,3.01970191444255,0.0426443374084937,0.895302621333307,6.3336024,3.54966917072649,5.9634743,5.33449676839042,3.01970191444255,0.0426443374084937,0.895302621333307,6.3336024,3.54966917072649
KE37,1.01691563796227,2,2,2,2,0.961660788712992,2,5.7446995,6.20045727142857,0.879705766282288,2.84398384404833,0.799087306074004,6.200457,4.17472598770613,5.7446995,6.20045727142857,0.879705766282288,2.84398384404833,0.799087306074004,6.200457,4.17472598770613
GMS10,0.738771440160874,1,1,2,1,1.07676244645525,1,6.2039843,6.15663931069209,0.400537929583729,3.76234881564413,6.92576211367192,6.0744624,5.6246858105254,6.2039843,6.15663931069209,0.400537929583729,3.76234881564413,6.92576211367192,6.0744624,5.6246858105254
CAOV4,1.18328697197609,2,3,4,2,1.23824775044902,4,6.0241423,5.17990909001494,0.20163386116965,2.97452931248388,1.71808758396052,6.0836387,5.24374523473398,6.0241423,5.17990909001494,0.20163386116965,2.97452931248388,1.71808758396052,6.0836387,5.24374523473398
LOUCY,1.01832635998898,2,2,2,2,1.03957943517528,2,6.740118,5.1122831085982,0,0.0143552929770701,0.659924558402378,6.0125685,4.39506279951758,6.740118,5.1122831085982,0,0.0143552929770701,0.659924558402378,6.0125685,4.39506279951758
ALLSIL,0.995159721820083,2,2,2,2,0.998614666101029,2,5.819157,6.25757641795478,0,0.0143552929770701,0.863938450423971,6.116448,3.79597469420667,5.819157,6.25757641795478,0,0.0143552929770701,0.863938450423971,6.116448,3.79597469420667
JVM2,0.986916545885842,2,2,2,2,1.37754552725382,2,5.9692426,5.76261457875456,1.1243281350022,0.0143552929770701,2.65306001710456,7.2992997,1.73984810269933,5.9692426,5.76261457875456,1.1243281350022,0.0143552929770701,2.65306001710456,7.2992997,1.73984810269933
CAPAN2,1.19656602071982,2,2,2,2,1.54981928348202,2,6.451376,6.9505850568345,0.0840642647884745,0.27500704749987,7.80555042521086,6.479942,6.60080495498947,6.451376,6.9505850568345,0.0840642647884745,0.27500704749987,7.80555042521086,6.479942,6.60080495498947
KP3,0.712568196826313,2,2,3,4,1.35782730277527,2,5.9321556,5.15015345524625,0.0565835283663675,3.7235585614721,8.35085080548338,6.377991,5.84774641692139,5.9321556,5.15015345524625,0.0565835283663675,3.7235585614721,8.35085080548338,6.377991,5.84774641692139
NCIH3255,1.81806023635486,6,7,7,7,1.28565183323807,7,6.5498233,4.77188557851537,1.26303440583379,4.9136075118231,4.74416109557041,5.956289,7.89160145654469,6.5498233,4.77188557851537,1.26303440583379,4.9136075118231,4.74416109557041,5.956289,7.89160145654469
NCCSTCK140,0.75933057204145,2,2,3,2,1.38683869913771,4,5.9703937,6.65062097165315,3.89044669267991,5.52356195605701,5.06651978142975,6.128252,5.60139939053183,5.9703937,6.65062097165315,3.89044669267991,5.52356195605701,5.06651978142975,6.128252,5.60139939053183
HCC1187,1.48493522502481,2,2,1,2,0.825019429013485,1,6.1045465,6.3876727200125,0.632268215499513,5.02502879449152,1.81966818349646,7.390771,4.00988458893184,6.1045465,6.3876727200125,0.632268215499513,5.02502879449152,1.81966818349646,7.390771,4.00988458893184
SIGM5,0.896577375770297,3,3,4,3,1.16392653440214,3,6.018812,5.67779010121666,0.485426827170242,1.56071495447448,3.56803210477128,6.374692,7.04984854945056,6.018812,5.67779010121666,0.485426827170242,1.56071495447448,3.56803210477128,6.374692,7.04984854945056
OCIAML2,0.953959550547558,2,2,2,2,1.32353835179175,2,6.69279,5.73525137578642,2.58014548442338,0.070389327891398,2.59931779369823,5.777683,5.46858331700683,6.69279,5.73525137578642,2.58014548442338,0.070389327891398,2.59931779369823,5.777683,5.46858331700683
SU8686,1.01136236587851,2,3,4,4,1.32463969801756,2,5.9085727,3.86195536414487,0.871843648509318,1.9297909977186,5.82984955984469,6.212569,5.76181714250714,5.9085727,3.86195536414487,0.871843648509318,1.9297909977186,5.82984955984469,6.212569,5.76181714250714
VCAP,1.24971575976424,4,4,4,7,0.923062346255585,4,6.3670216,5.76234881564413,0,3.36317107711924,0.641546029087524,5.9555917,2.31903981556254,6.3670216,5.76234881564413,0,3.36317107711924,0.641546029087524,5.9555917,2.31903981556254
OAW28,0.933874118389642,2,1,1,3,1.94989981386655,2,5.869131,6.59499633654093,0.0143552929770701,3.16510798514454,0.6959938131099,6.613237,2.63226821549951,5.869131,6.59499633654093,0.0143552929770701,3.16510798514454,0.6959938131099,6.613237,2.63226821549951
EFM192A,1.24185781207348,1,2,4,1,1.03139717563693,2,5.94439,6.56483541701035,0.0565835283663675,5.39197388306029,1.62293035092018,6.0494127,2.3533232911629,5.94439,6.56483541701035,0.0565835283663675,5.39197388306029,1.62293035092018,6.0494127,2.3533232911629
HUPT3,1.15404541556639,2,2,2,2,1.22238606322579,1,6.635609,5.44790974874208,0.545968369105293,0.575312330687437,8.25143506956323,6.0130157,5.13668357769724,6.635609,5.44790974874208,0.545968369105293,0.575312330687437,8.25143506956323,6.0130157,5.13668357769724
