LINE,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2,MIR335,JUND,FOXP2,TFAP2C,FOSL1,PLAUR
BL41,0.266622,0.269144,0.00113648,1.52808e-05,0.0011208,0.017623,0.605223,0.758656,0.697805,1e-06,0.0910481,0.534398,0.826509,0.691654,1.40584,435.688,0.554538,1.06832,0.158755,0.337008,6.22612,4.10014,6.88566e-09,0.0426443,0.475085,2.9235
BL70,0.353786,8.76887e-05,0.272377,0.107336,0.13455,0.0540391,0.589868,0.551249,0.752693,1e-06,0.114168,0.476367,0.786003,0.595202,0.80603,305.248,0.517123,1.07879,0.207887,0.453051,6.51333,4.11686,9.82807e-09,0.137504,0.516015,3.04469
BT20,0.493592,0.411105,0.468494,0.478589,0.480882,0.615873,0.504238,0.455198,0.510208,1e-06,0.148023,0.497654,0.384858,0.590985,0.62398,243.966,0.501914,1.07393,0.35832,0.424676,6.05137,5.79701,8.19785e-09,6.40105,3.88557,2.87436
BT474,0.451221,1e-06,0.285424,0.450835,0.2661,0.295744,0.592456,0.481381,0.691266,0.342722,0.0670731,0.523201,0.696684,0.744502,0.850924,0.642877,0.497778,1.40019,0.101017,0.378084,5.70846,5.56986,1.59932,6.36755,0.356144,3.04701
BT483,0.472574,0.245222,0.395241,0.421647,0.491801,0.70711,0.52734,0.373654,0.565929,0.00743796,0.121115,0.494948,0.33464,0.697752,0.764458,0.781048,0.505204,1.15325,0.202646,0.348653,6.12433,5.79129,0.0285692,6.33914,0.641546,2.99808
BT549,0.545374,0.599587,0.755933,0.746333,0.644626,0.620954,0.457368,0.358599,0.393503,0.129392,0.135684,0.377917,0.392975,0.583243,0.54853,0.726631,0.638901,1.31219,0.433505,0.423124,6.76235,5.64731,0.356144,3.16027,6.93263,2.90187
BV173,0.613664,0.487917,0.909707,0.915997,0.878373,0.0170295,0.403573,0.354612,0.267328,1e-06,0.1833,0.374799,0.798675,0.570846,0.665303,220.67,0.601351,1.02706,0.300874,0.423495,6.41785,3.42089,9.06332e-09,0.0426443,2.41414,2.96749
BXPC3,0.546318,0.608062,0.762861,0.674819,0.63891,0.0113173,0.456751,0.383015,0.395124,0.179206,0.148167,0.380124,0.796161,0.587397,0.517979,0.708476,0.630368,1.20155,0.460833,0.422747,6.63329,4.58075,0.505891,0.0426443,6.73552,2.87878
C2BBE1,0.51363,0.371045,0.543906,0.54489,0.558086,0.490127,0.48654,0.438727,0.461253,0.0111778,0.130247,0.479398,0.509621,0.569113,0.571611,0.786354,0.52103,1.19274,0.413165,0.423923,6.52105,4.74362,0.0426443,3.84699,3.99005,2.97954
CA46,0.563349,0.0167655,0.62948,0.743166,0.669839,0.0751106,0.436922,0.31481,0.31077,0.00381543,0.13326,0.472715,0.794679,0.596845,0.74324,0.797356,0.530653,1.31251,0.183474,0.439859,6.73539,6.31288,0.0143553,0.189034,0.545968,2.94789
