time, species_1, species_2, species_3
1.9, 8.25852e-11, 1.58e-11, 1.61404e-12
2, 8.17832e-11, 1.64443e-11, 1.7718e-12
2.1, 8.09845e-11, 1.70836e-11, 1.93121e-12
2.2, 8.02206e-11, 1.76748e-11, 2.1039e-12
2.3, 7.94053e-11, 1.82942e-11, 2.29985e-12
2.4, 7.86564e-11, 1.88803e-11, 2.46258e-12
2.5, 7.78162e-11, 1.94997e-11, 2.68343e-12
2.6, 7.70357e-11, 2.00975e-11, 2.86609e-12
2.7, 7.62802e-11, 2.06139e-11, 3.10521e-12
2.8, 7.55014e-11, 2.11686e-11, 3.32938e-12
2.9, 7.47359e-11, 2.17082e-11, 3.55521e-12
3, 7.39372e-11, 2.22894e-11, 3.77274e-12
3.1, 7.32065e-11, 2.28125e-11, 3.98031e-12
3.2, 7.24726e-11, 2.33306e-11, 4.19618e-12
3.3, 7.18084e-11, 2.37623e-11, 4.42866e-12
3.4, 7.11491e-11, 2.41608e-11, 4.68936e-12
3.5, 7.04334e-11, 2.46424e-11, 4.9235e-12
3.6, 6.9731e-11, 2.51074e-11, 5.16096e-12
3.7, 6.90186e-11, 2.55657e-11, 5.41502e-12
3.8, 6.83328e-11, 2.59808e-11, 5.68569e-12
3.9, 6.76653e-11, 2.63743e-11, 5.95967e-12
4, 6.7021e-11, 2.67779e-11, 6.20045e-12
4.1, 6.63402e-11, 2.7188e-11, 6.47112e-12
4.2, 6.57125e-11, 2.756e-11, 6.72684e-12
4.3, 6.50865e-11, 2.78771e-11, 7.0357e-12
4.4, 6.44621e-11, 2.82076e-11, 7.32962e-12
4.5, 6.38162e-11, 2.85546e-11, 7.62852e-12
4.6, 6.32167e-11, 2.88369e-11, 7.94568e-12
4.7, 6.2609e-11, 2.9164e-11, 8.22631e-12
4.8, 6.19813e-11, 2.94928e-11, 8.52521e-12
4.9, 6.1342e-11, 2.98183e-11, 8.83905e-12
5, 6.07193e-11, 3.01554e-11, 9.12466e-12
5.1, 6.01331e-11, 3.0441e-11, 9.42522e-12
5.2, 5.9532e-11, 3.07299e-11, 9.7374e-12
5.3, 5.89176e-11, 3.11002e-11, 9.9815e-12
5.4, 5.83762e-11, 3.13493e-11, 1.02738e-11
5.5, 5.77917e-11, 3.15768e-11, 1.06308e-11
5.6, 5.72438e-11, 3.18076e-11, 1.09479e-11
5.7, 5.66642e-11, 3.20617e-11, 1.12734e-11
5.8, 5.61378e-11, 3.22526e-11, 1.16088e-11
5.9, 5.55683e-11, 3.24851e-11, 1.19459e-11
6, 5.49821e-11, 3.27392e-11, 1.2278e-11
6.1, 5.44009e-11, 3.29883e-11, 1.26101e-11
6.2, 5.38031e-11, 3.32556e-11, 1.29406e-11
6.3, 5.32502e-11, 3.34682e-11, 1.3281e-11
6.4, 5.26789e-11, 3.37089e-11, 1.36114e-11
6.5, 5.21276e-11, 3.39315e-11, 1.39402e-11
6.6, 5.16262e-11, 3.4134e-11, 1.42391e-11
6.7, 5.1128e-11, 3.42536e-11, 1.46177e-11
6.8, 5.06016e-11, 3.44329e-11, 1.49648e-11
6.9, 5.00719e-11, 3.46571e-11, 1.52703e-11
7, 4.95937e-11, 3.47933e-11, 1.56124e-11
7.1, 4.91237e-11, 3.49245e-11, 1.59511e-11
7.2, 4.86123e-11, 3.51071e-11, 1.62799e-11
7.3, 4.81257e-11, 3.52466e-11, 1.6627e-11
7.4, 4.76193e-11, 3.54259e-11, 1.69541e-11
7.5, 4.71776e-11, 3.54957e-11, 1.73261e-11
7.6, 4.66844e-11, 3.56335e-11, 1.76814e-11
7.7, 4.61763e-11, 3.57813e-11, 1.80418e-11
7.8, 4.56681e-11, 3.59158e-11, 1.84154e-11
7.9, 4.52298e-11, 3.59806e-11, 1.8789e-11
8, 4.47681e-11, 3.61034e-11, 1.91277e-11
8.1, 4.4343e-11, 3.61566e-11, 1.94997e-11
8.2, 4.38764e-11, 3.62496e-11, 1.98733e-11
8.3, 4.33783e-11, 3.64206e-11, 2.02005e-11
8.4, 4.29349e-11, 3.6507e-11, 2.05575e-11
8.5, 4.25065e-11, 3.66016e-11, 2.08912e-11
8.6, 4.21046e-11, 3.66016e-11, 2.12931e-11
8.7, 4.16795e-11, 3.66464e-11, 2.16734e-11
8.8, 4.13026e-11, 3.66199e-11, 2.20769e-11
8.9, 4.09107e-11, 3.66398e-11, 2.24488e-11
9, 4.05122e-11, 3.67228e-11, 2.27643e-11
9.1, 4.01286e-11, 3.67594e-11, 2.31114e-11
9.2, 3.96919e-11, 3.68009e-11, 2.35066e-11
9.3, 3.92684e-11, 3.68241e-11, 2.39068e-11
9.4, 3.89098e-11, 3.68523e-11, 2.42372e-11
9.5, 3.85245e-11, 3.68706e-11, 2.46042e-11
9.6, 3.81276e-11, 3.69105e-11, 2.49612e-11
9.7, 3.77789e-11, 3.68689e-11, 2.53514e-11
9.8, 3.74103e-11, 3.69038e-11, 2.56852e-11
